U_f,I_f,U_a,I_a,lnI_a,sqrtU_a
4.625,1.905,-4.98,0.002,-20.077,
4.627,1.905,-4.49,0.001,-20.851,
4.624,1.905,-4.09,0.003,-19.75,
4.624,1.905,-3.99,0.002,-20.001,
4.626,1.905,-3.49,0.002,-19.912,
4.626,1.905,-3.088,0.003,-19.554,
4.626,1.905,-2.493,0.001,-20.831,
4.627,1.905,-1.991,0.002,-20.307,
4.626,1.905,-1.493,0.001,-20.647,
4.626,1.905,-0.995,0.004,-19.421,
4.627,1.905,-0.496,0.01,-18.407,
4.625,1.905,-0.099,0.038,-17.075,
4.625,1.905,0.397,0.161,-15.64,0.63
4.624,1.905,0.994,0.526,-14.458,0.997
4.623,1.905,1.393,1.252,-13.591,1.18
4.624,1.905,1.991,2.41,-12.936,1.411
4.623,1.905,2.489,4.026,-12.423,1.578
4.624,1.905,2.988,6.024,-12.02,1.729
4.623,1.905,3.486,8.209,-11.71,1.867
4.622,1.905,3.889,10.706,-11.445,1.972
4.619,1.905,4.486,12.961,-11.254,2.118
4.617,1.905,4.882,14.645,-11.131,2.21
4.616,1.905,5.48,16.297,-11.025,2.341
4.615,1.905,5.98,17.71,-10.941,2.445
4.614,1.905,6.48,19.009,-10.871,2.546
4.613,1.905,6.98,20.035,-10.818,2.642
4.612,1.905,7.38,20.994,-10.771,2.717
4.613,1.905,7.98,21.837,-10.732,2.825
4.612,1.905,8.48,22.606,-10.697,2.912
4.611,1.905,8.974,23.32,-10.666,2.996
4.61,1.905,9.47,23.892,-10.642,3.077
4.609,1.905,9.97,24.624,-10.612,3.158
4.609,1.905,10.47,24.887,-10.601,3.236
4.609,1.905,10.97,25.234,-10.587,3.312
4.608,1.905,11.47,25.55,-10.575,3.387
4.608,1.905,11.87,25.819,-10.564,3.445
4.607,1.905,12.47,26.059,-10.555,3.531
4.607,1.905,12.97,26.274,-10.547,3.601
4.607,1.905,13.47,26.45,-10.54,3.67
4.606,1.905,13.96,26.623,-10.534,3.736
4.606,1.905,14.96,26.864,-10.525,3.868
4.605,1.905,15.46,26.966,-10.521,3.932
4.605,1.905,15.86,27.064,-10.517,3.982
4.605,1.905,16.46,27.161,-10.514,4.057
4.605,1.905,16.96,27.243,-10.511,4.118
4.604,1.905,17.36,27.333,-10.507,4.167
4.602,1.905,17.86,27.428,-10.504,4.226
4.603,1.905,18.452,27.49,-10.502,4.296
4.603,1.905,18.95,27.554,-10.499,4.353
4.603,1.905,19.35,27.608,-10.497,4.399
4.604,1.905,19.95,27.665,-10.495,4.467
4.612,1.905,25.098,28.119,-10.479,5.01
4.615,1.905,50.0,29.049,-10.447,7.071
4.615,1.905,69.92,29.568,-10.429,8.362
4.615,1.905,99.8,29.927,-10.417,9.99
4.615,1.905,124.7,30.209,-10.407,11.167
4.617,1.905,149.6,30.448,-10.4,12.231
4.622,1.905,174.5,30.661,-10.393,13.21
4.616,1.905,199.46,30.845,-10.387,14.123
4.616,1.905,224.3,31.011,-10.381,14.977
4.614,1.905,249.3,31.175,-10.376,15.789
4.614,1.905,269.22,31.317,-10.371,16.408
4.615,1.905,299.1,31.46,-10.367,17.295
4.613,1.905,324.0,31.589,-10.363,18.0
4.613,1.905,343.92,31.716,-10.359,18.545
4.613,1.905,373.8,31.837,-10.355,19.334
4.613,1.905,399.0,31.949,-10.351,19.975
4.613,1.905,419.0,32.062,-10.348,20.469
4.613,1.905,449.0,32.167,-10.345,21.19
4.615,1.905,488.2,32.373,-10.338,22.095
